DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,,,Learning Analytics Explained,"Learning Analytics Explained draws extensively from case studies and interviews with experts in order to discuss emerging applications of the new field of learning analytics. Educational institutions increasingly collect data on students and their learning experiences, a practice that helps enhance courses, identify learners who require support, and provide a more personalized learning experience.There is, however,a corresponding need for guidance on how to carry out institutional projects, intervene effectively with students, and assess legal and ethical issues. This book provides that guidance while also covering the evolving technical architectures, standards, and products within the field.","Alejandro Andrade,Ginette Delandshere,Ginette Delandshere,Joshua A. Danish",,2017
10.1109/educon.2019.8725139,,,A Knowledge Based System for Automated Assessment of Short Structured Questions,"Assessment is a key tool of the educational system to gauge the level of understanding of students. Assessment is traditionally carried out through various mediums ranging from written evaluations to oral evaluations or even through practical sessions in some cases. Over the years, it has been noticed that the level of education is escalating and that academic competition is growing fiercer. Thus, educational institutes are faced with the need to upgrade their process of assessment. Although assessment is an essential part of the educational process, the correction of structured questions represents a substantial portion of an instructor’s worktime. Besides, with the increase in cohort size throughout institutions and the popularity of Massive Open Online Courses (MOOCs), this problem seems to worsen. Teachers are therefore faced with a conundrum; they can either devote their time to the correction of scripts or to teaching activities. According to research, computerized marking give rise to faster correction and it saves staff time in terms of supervising and marking. In this context, a knowledge based automated assessment system has been developed to help correction and grading of short structured questions online. The system will compare the meaning of two sentences by taking into account both semantic and syntactic content and the corresponding grade will be returned.","Alejandro Andrade,Joshua A. Danish,Adam V. Maltese",,2019
10.1109/educon.2019.8725127,,,Automated Assessment in Learning and Teaching Programming Languages using Virtual Learning Environment,"The paper investigates the impact of different types of e-learning course activities on the first-year university students’ results in the introductory programming course. The primary goal of three years of research is to uncover the role of a few types of activities, especially the purpose of an automated assessment. Despite the education systems function supported the automated assessment of source code is one of the most useful tools of programming learning, there are only a few researches inspected its effectiveness and impact. The paper compares involved groups of students, their motivation and expectations collected via a set of questionnaires. It investigates the significance of automated assessment of source code in the educational process. The results show significant differences between groups with and without the use of automated assessment were not proven. Finally, the authors researched the relationship between the number of solved tasks and the student’s outcomes of the evaluation and identified a positive correlation.","Alexis Gabadinho,Gilbert Ritschard,Nicolas S. Müller,Matthias Studer",,2019
10.1109/icaict.2018.8747068,,,Proposal of Learning Analytics Architecture Integration into University IT Infrastructure,"Learning Analytics is a rapidly growing area of interest in the higher educational institutions worldwide. Its effective utilization depends on the proper selection of strategy of the learning analytics architecture implementation. The paper compares several learning analytics architectures and describes their main building components. Consequently, the proposal and current state of the learning analytics architecture implementation at the university environment is discussed. The conclusion provides several recommendations, open questions and tasks, which rose during the implementation process and require the future research.",Alfred V. Aho,,2018
10.1007/978-3-642-39112-5_130,,,Student Coding Styles as Predictors of Help-Seeking Behavior,"Recent research in CS education has leveraged machine learning techniques to capture students’ progressions through assignments in programming courses based on their code submissions [1, 2]. With this in mind, we present a methodology for creating a set of descriptors of the students’ progression based on their coding styles as captured by different non-semantic and semantic features of their code submissions. Preliminary findings show that these descriptors extracted from a single assignment can be used to predict whether or not a student got help throughout the entire quarter. Based on these findings, we plan on developing a model of the impact of teacher intervention on a student’s pathway through homework assignments.","Allan Fowler,Anders Drachen,Johanna Pirker,Ian Pollock,Bruno Campagnola de Paula,María Emilia Echeveste,Marcos J. Gomez",,2013
10.1109/acii.2013.24,,,Arguments for a Computational Model for Forms of Selective Attention Based on Cognitive and Affective Feelings,"We present arguments for a computational model of selective attention that relies on the assumption that uncertain, surprising and motive congruent/incongruent information demands attention from an intelligent agent. This computational model that we propose has been integrated into the architecture of a Belief-Desire-Intention artificial agent so that this can autonomously select relevant, interesting information of the (external or internal) environment while ignoring other less relevant information. The advantage is that the agent can communicate only that interesting, selective information to its processing resources (focus of the senses, decision-making, etc.) or to its human owner's processing resources so that these resources can be allocated more effectively. We provide both theoretical and empirical arguments for that computational model.","Allan Wigfield,Jacquelynne S. Eccles",,2013
10.2316/journal.208.2004.1.202-1454,,,A Prototype for an Intelligent Tutoring System for Students Learning to Program in Java,"The “Java Intelligent Tutoring System” (JITS) research project involves the development of a programming tutor designed for students in their first programming course in Java at the College or University level. This paper presents an overview of the architectural design including state-of-the-art web-based distributed architecture, the AI techniques used, and the programmer-optimized user interface. This project is a prototype being constructed which will model the domain of a small subset of the Java programming language in a very specific context. Research is in progress and it is hypothesized that the completed prototype will be sufficient to prove the concept and that a fully developed Java Intelligent Tutoring System will provide an interactively-rich learning environment for students that will result in increased achievement. Based on the success of similar Intelligent Tutoring Systems, it is also hypothesized that these students will be able to learn programming skills and gain knowledge more quickly and effectively than students in traditional educational settings.","Allison Elliott Tew,Mark Guzdial",Advanced Technology for Learning,2004
10.1145/1345375.1345441,,,A survey of literature on the teaching of introductory programming,"Three decades of active research on the teaching of introductory programming has had limited effect on classroom practice. Although relevant research exists across several disciplines including education and cognitive science, disciplinary differences have made this material inaccessible to many computing educators. Furthermore, computer science instructors have not had access to a comprehensive survey of research in this area. This paper collects and classifies this literature, identifies important work and mediates it to computing educators and professional bodies.   We identify research that gives well-supported advice to computing academics teaching introductory programming. Limitations and areas of incomplete coverage of existing research efforts are also identified. The analysis applies publication and research quality metrics developed by a previous ITiCSE working group [74].","Allison Littlejohn,Nina Hood,Nina Hood,Colin Milligan,Paige Mustain",,2007
10.1080/00461520.2011.611369,,,"The Relative Effectiveness of Human Tutoring, Intelligent Tutoring Systems, and Other Tutoring Systems","This article is a review of experiments comparing the effectiveness of human tutoring, computer tutoring, and no tutoring. “No tutoring” refers to instruction that teaches the same content without tutoring. The computer tutoring systems were divided by their granularity of the user interface interaction into answer-based, step-based, and substep-based tutoring systems. Most intelligent tutoring systems have step-based or substep-based granularities of interaction, whereas most other tutoring systems (often called CAI, CBT, or CAL systems) have answer-based user interfaces. It is widely believed as the granularity of tutoring decreases, the effectiveness increases. In particular, when compared to No tutoring, the effect sizes of answer-based tutoring systems, intelligent tutoring systems, and adult human tutors are believed to be d = 0.3, 1.0, and 2.0 respectively. This review did not confirm these beliefs. Instead, it found that the effect size of human tutoring was much lower: d = 0.79. Moreover, the eff...","Allyson F. Hadwin,John C. Nesbit,Dianne Jamieson-Noel,Jillianne Code,Philip H. Winne",Educational Psychologist,2011
10.1145/2016911.2016930,,,Predicting at-risk novice Java programmers through the analysis of online protocols,"In this study, we attempted to quantify indicators of novice programmer progress in the task of writing programs, and we evaluated the use of these indicators for identifying academically at-risk students. Over the course of nine weeks, students completed five different graded programming exercises in a computer lab. Using an instrumented version of BlueJ, an integrated development environment for Java, we collected novice compilations and explored the errors novices encountered, the locations of these errors, and the frequency with which novices compiled their programs. We identified which frequently encountered errors and which compilation behaviors were characteristic of at-risk students. Based on these findings, we developed linear regression models that allowed prediction of students' scores on a midterm exam. However, the models derived could not accurately predict the at-risk students. Although our goal of identifying at-risk students was not attained, we have gained insights regarding the compilation behavior of our students, which may help us identify students who are in need of intervention.","Amjad Altadmri,Neil C. C. Brown",,2011
10.1145/2157136.2157182,,,Modeling how students learn to program,"Despite the potential wealth of educational indicators expressed in a student's approach to homework assignments, how students arrive at their final solution is largely overlooked in university courses. In this paper we present a methodology which uses machine learning techniques to autonomously create a graphical model of how students in an introductory programming course progress through a homework assignment. We subsequently show that this model is predictive of which students will struggle with material presented later in the class.",Amjad Jumaah Frhan,,2012
10.1080/10508406.2014.954750,,,Programming Pluralism: Using Learning Analytics to Detect Patterns in the Learning of Computer Programming,"New high-frequency, automated data collection and analysis algorithms could offer new insights into complex learning processes, especially for tasks in which students have opportunities to generate unique open-ended artifacts such as computer programs. These approaches should be particularly useful because the need for scalable project-based and student-centered learning is growing considerably. In this article, we present studies focused on how students learn computer programming, based on data drawn from 154,000 code snapshots of computer programs under development by approximately 370 students enrolled in an introductory undergraduate programming course. We use methods from machine learning to discover patterns in the data and try to predict final exam grades. We begin with a set of exploratory experiments that use fully automated techniques to investigate how much students change their programming behavior throughout all assignments in the course. The results show that students’ change in programming ...",Amruth N. Kumar,The Journal of the Learning Sciences,2014
10.1109/fie.2012.6462486,,,Increasing student commitment in introductory programming learning,"High failure rates are common in many programming courses worldwide. Many causes for the learning problems have already been identified and different solutions have been proposed. However, the situation remains mostly unchanged. So, new pedagogical approaches are necessary, looking to create learning contexts that motivate students, increase their involvement with course activities, and maximize their learning possibilities. In this paper we present the changes made in the structure of a non-majors introductory programming course, and discuss the results obtained. We also present the results obtained in the first implementation of the new course structure.",Amruth N. Kumar,,2012
10.1145/1930464.1930480,,,Review of recent systems for automatic assessment of programming assignments,"This paper presents a systematic literature review of the recent (2006--2010) development of automatic assessment tools for programming exercises. We discuss the major features that the tools support and the different approaches they are using both from the pedagogical and the technical point of view. Examples of these features are ways for the teacher to define tests, resubmission policies, security issues, and so forth. We have also identified a list of novel features, like assessing web software, that are likely to get more research attention in the future. As a conclusion, we state that too many new systems are developed, but also acknowledge the current reasons for the phenomenon. As one solution we encourage opening up the existing systems and joining efforts on developing those further. Selected systems from our survey are briefly described in Appendix A.",Anabela Gomes,,2010
10.1145/1067445.1067453,,,A study of the difficulties of novice programmers,"Programming is related to several fields of technology, and many university students are studying the basics of it. Unfortunately, they often face difficulties already on the basic courses. This work studies the difficulties in learning programming in order to support developing learning materials for basic programming courses. The difficulties have to be recognized to be able to aid learning and teaching in an effective way.An international survey of opinions was organized for more than 500 students and teachers. This paper analyses the results of the survey. The survey provides information of the difficulties experienced and perceived when learning and teaching programming. The survey results also provide basis for recommendations for developing learning materials and approaches.","Analía Cicchinelli,Eduardo Veas,Abelardo Pardo,Hendrik Drachsler,Viktoria Pammer-Schindler,Angela Fessl,Carla Barreiros,Stefanie Lindstädt",,2005
,,,An Action Research Case Study on Students' Diversity in the Classroom: Focus on Students' Diverse Learning Progress,Students’ diverse learning progress exists in every classroom. This study aimed to discover what strategies can be used to deal with students’ diverse learning progress in classroom. The data gathering consisted of two structured interview and observations. Qualitative approach was utilised to analyse the data. The study reflected on the practices of addressing students’ diverse learning progress and made an action plan for improving primary school teaching. The findings from this study have the potential to enrich the teaching approaches in both primary and secondary schools.,"Andoni Eguíluz,Mariluz Guenaga,Pablo Garaizar,Cristian Olivares-Rodríguez",,2012
10.3102/0013189x013006004,,,The 2 Sigma Problem: The Search for Methods of Group Instruction as Effective as One-to-One Tutoring:,"T w o University of Chicago doctoral students in education, Anania (1982, 1983) and Burke (1984), completed dissertations in which they compared student learning under the following three conditions of instruction: 1. Conventional. Students learn the subject matter in a class with about 30 students per teacher. Tests are given periodically for marking the students. 2. Mastery Learning. Students learn the subject matter in a class with about 30 students per teacher. The instruction is the same as in the conventional class (usually with the same teacher). Formative tests (the same tests used with the conventional group) are given for feedback followed by corrective procedures and parallel formative tests to determine the extent to which the students have mastered the subject matter. 3. Tutoring. Students learn the subject matter with a good tutor for each student (or for two or three students simultaneously). This tutoring instruction is followed periodically by formative tests, feedback-corrective procedures, and parallel formative tests as in the mastery learning classes. It should be pointed out that the need for corrective work under tutoring is very small.","Andrea Forte,Mark Guzdial",Educational Researcher,1984
,,,The TangibleK Robotics Program: Applied Computational Thinking for Young Children.,"This article describes the TangibleK robotics program for young children. Based on over a decade of research, this program is grounded on the belief that teaching children about the human-made world, the realm of technology and engineering, is as important as teaching them about the natural world, numbers, and letters. The TangibleK program uses robotics as a tool to engage children in developing computational thinking and learning about the engineering design process. It includes a research-based, developmentally appropriate robotics kit that children can use to make robots and program their behaviors. The curriculum has been piloted in kindergarten classrooms and in summer camps and lab settings. The author presents the theoretical framework that informs TangibleK and the “powerful ideas” from computer science and robotics on which the curriculum is based, linking them to other disciplinary areas and developmental characteristics of early childhood. The article concludes with a description of classroom pedagogy and activities, along with assessment tools used to evaluate learning outcomes.",Andreas Bollin,Early childhood research and practice,2010
10.1080/15391523.2013.10782614,,,"Let's Dance the ""Robot Hokey-Pokey!"": Children's Programming Approaches and Achievement throughout Early Cognitive Development.","AbstractYoung learners today generate, express, and interact with sophisticated ideas using a range of digital tools to explore interactive stories, animations, computer games, and robotics. In recent years, new developmentally appropriate robotics kits have been entering early childhood classrooms. This paper presents a retrospective analysis of one study within a design-based robotics research program. We examine how patterns of cognition throughout early childhood relate to programming approaches and achievement in a robotics context. The findings lay a foundation for applying cognitive developmental theory to early technology education and inform the evaluation of the study’s programming and robotics technologies and curriculum.",Andreas Bollin,Journal of research on technology in education,2013
10.1145/2532748.2532759,,,Adoption of new computer science high school standards by New Zealand teachers,"Computer science was progressively introduced as a subject in New Zealand high schools between 2011 and 2013, and teachers have played a key role in the success of the introduction of the new curriculum. This paper looks at how the process has worked from their point of view, primarily by comparing teacher responses to two surveys, one early in the process and one after all three years of material had been introduced. We look at the support teachers have had to prepare to teach the new topics, and we identify the aspects of the transition that worked well and the aspects have been problematic. The two surveys reveal an increase in teacher confidence after they had professional development and gained experience teaching the new standards.","Andreas Bollin,Heike Demarle-Meusel,Max Kesselbacher,Corinna Mößlacher,Marianne Rohrer,Julia Sylle",,2013
10.1145/2189835.2189851,,,Beyond curriculum: the exploring computer science program,"➧1 In the past few decades, computer science has driven innovation across a variety of academic fields and become a robust part of democratic participation and the labor economy. Today’s youth are surrounded with applications of these new technologies that affect how they access and produce information and communicate with friends, family, and educators. Yet, though students often gain skills as “users” of these technologies in schools, too many have been denied opportunities to study computer science and produce new knowledge required to become “creators” of computing innovations. The students who do study computer science courses often represent only a narrow band of students that excludes significant numbers of girls and students of color. Further, for a field that depends on creativity, a homogenous workforce fails to take advantage of those with diverse experiences and world viewpoints that likely foster divergent and fresh thinking. This article will provide an overview of Exploring Computer Science (ECS), a curriculum and program developed to broaden participation in computing for high school students in the Los Angeles Unified School District. This program is framed around a three-pronged approach to reform: curricular development, teacher professional development, and policy work across a variety of educational institutions. The focus is to provide the necessary structures and support to schools and teachers that leads to high quality teaching and learning in computer science classrooms. In ECS classrooms, high quality teaching and learning is viewed within the frame of inquiry-based teaching strategies that lead to deep student content learning and engagement. The incorporation of equity-based teaching practices is an essential part of setting up the classroom culture that facilitates inquiry-based learning. As the second largest and one of the most diverse districts in the United States, the Los Angeles Unified School District provides an important context to understand opportunities and obstacles encountered while engaging in institutional K-12 computer science education reform. This article will begin with an account of the educational research that provided key information about the obstacles students encounter in computer science classrooms. Next, we will describe the key elements of the ECS program. Finally, we will highlight several lessons that we have learned that inform the CS 10K campaign (see Jan Cuny’s Critical Perspective “Transforming High School Computing: A Call to Action”, this issue).","Andreas Grillenberger,Ralf Romeike",ACM Inroads,2012
10.1145/2787622.2787721,,,Using Commutative Assessments to Compare Conceptual Understanding in Blocks-based and Text-based Programs,"Blocks-based programming environments are becoming increasingly common in introductory programming courses, but to date, little comparative work has been done to understand if and how this approach affects students' emerging understanding of fundamental programming concepts. In an effort to understand how tools like Scratch and Blockly differ from more conventional text-based introductory programming languages with respect to conceptual understanding, we developed a set of ""commutative"" assessments. Each multiple-choice question on the assessment includes a short program that can be displayed in either a blocks- based or text-based form. The set of potential answers for each question includes the correct answer along with choices informed by prior research on novice programming misconceptions. In this paper we introduce the Commutative Assessment, discuss the theoretical and practical motivations for the assessment, and present findings from a study that used the assessment. The study had 90 high school students take the assessment at three points over the course of the first ten weeks of an introduction to programming course, alternating the modality (blocks vs. text) for each question over the course of the three administrations of the assessment. Our analysis reveals differences on performance between blocks-based and text-based questions as well as differences in the frequency of misconceptions based on the modality. Future work, potential implications, and limitations of these findings are also discussed.",Andrew Luxton-Reilly,,2015
10.1145/1227310.1227386,,,Through the looking glass: teaching CS0 with Alice,This work analyzes the advantages and disadvantages of using the novice programming environment Alice in the CS0 classroom. We consider both general aspects as well as specifics drawn from the authors' experiences using Alice in the classroom over the course of the last academic year.,"Andrew Luxton-Reilly,Andrew Petersen",,2007
10.1080/00220670209598786,,,An Introduction to Logistic Regression Analysis and Reporting,"Abstract The purpose of this article is to provide researchers, editors, and readers with a set of guidelines for what to expect in an article using logistic regression techniques. Tables, figures, and charts that should be included to comprehensively assess the results and assumptions to be verified are discussed. This article demonstrates the preferred pattern for the application of logistic methods with an illustration of logistic regression applied to a data set in testing a research hypothesis. Recommendations are also offered for appropriate reporting formats of logistic regression results and the minimum observation-to-predictor ratio. The authors evaluated the use and interpretation of logistic regression presented in 8 articles published in The Journal of Educational Research between 1990 and 2000. They found that all 8 studies met or exceeded recommended criteria.","Andrew Luxton-Reilly,Simon,Ibrahim Al-Bluwi,Brett A. Becker,Michail N. Giannakos,Amruth N. Kumar,Linda Ott,James H. Paterson,Michael James Scott,Judy Sheard,Claudia Szabo",Journal of Educational Research,2002
10.1145/2381083.2381091,,,Teaching CS in kindergarten: how early can the pipeline begin?,,"Andrija Bernik,Danijel Radošević,Goran Bubaš",ACM Inroads,2012
10.1145/2632320.2632354,,,Predicting student success using fine grain clicker data,"Recent research suggests that the first weeks of a CS1 course have a strong influence on end-of-course student performance. The present work aims to refine the understanding of this phenomenon by using in-class clicker questions as a source of student performance. Clicker questions generate per-lecture and per-question data with which to assess student understanding. This work demonstrates that clicker question performance early in the term predicts student outcomes at the end of the term. The predictive nature of these questions applies to code-writing questions, multiple choice questions, and the final exam as a whole. The most predictive clicker questions are identified and the relationships between these questions and final exam performance are examined.","Andy Phippen,L. Sheppard,Steven Furnell",,2014
10.5944/openpraxis.5.1.42,,,The concept of openness behind c and x-MOOCs (Massive Open Online Courses),"The last five years have witnessed a hype about MOOCs (Massive Open Online Courses) presaging a revolution in higher education. Although all MOOCs have in common their scale and free access, they have already bifurcated in two very distinct types of courses when compared in terms of their underpinning theory, format and structure, known as c-MOOCs and x-MOOCs. The concept of openness behind each of the formats is also very different. Previous studies have shown that c-and x-MOOCs share some common features but that they clearly differ on the learning theory and pedagogical model on which they stand. In this paper we extend earlier findings and concentrate on the concept of “openness” behind each format showing important differences.","Anna Corazza,Valerio Maggio,Valerio Maggio,Giuseppe Scanniello",Open Praxis,2013
10.1145/1584322.1584332,,,Coarse-grained detection of student frustration in an introductory programming course,"We attempt to automatically detect student frustration, at a coarse-grained level, using measures distilled from student behavior within a learning environment for introductory programming. We find that each student's average level of frustration across five lab exercises can be detected based on the number of pairs of consecutive compilations with the same edit location, the number of pairs of consecutive compilations with the same error, the average time between compilations and the total number of errors. Attempts to detect frustration at a finer grain-size, identifying individual students' fluctuations in frustration between labs, were less successful. These results indicate that it is possible to detect frustration at a coarse-grained level, solely from coarse-grained data about students' behavior within a learning environment.","Anna Karen Gárate-Escamila,Amir Hajjam El Hassani,Emmanuel Andrès",,2009
10.1007/b95439,,,Support vector machines : theory and applications,From the contents: Support Vector Machines - An Introduction.- Multiple Model Estimation for Nonlinear Classification.- Componentwise Least Squares Support Vector Machines.- Active Support Vector Learning with Statistical Queries.- Local Learning vs. Global Learning: An Introduction to Maxi-Min Margin Machine.- Active-Set Methods for Support Vector Machines.- Theoretical and Practical Model Selection Methods for Support Vector Classifiers.- Adaptive Discriminant and Quasiconformal Kernel Nearest Neighbor Classification.- Improving the Performance of the Support Vector Machine: Two Geometrical Scaling Methods.- An Accelerated Robust Support Vector Machine Algorithm.- Fuzzy Support Vector Machines with Automatic Membership Setting.- Iterative Single Data Algorithm for Training Kernel Machines from Huge Data Sets: Theory and Performance.- Kernel Discriminant Learning with Application to Face Recognition.- Fast Color Texture-based Object Detection in Images: Application to License Plate Localization.,"Anna Parpala,Sari Lindblom-Ylänne,Erkki Komulainen,Topi Litmanen,Laura Hirsto",,2005
10.1109/tse.2009.28,,,A Systematic Survey of Program Comprehension through Dynamic Analysis,"Program comprehension is an important activity in software maintenance, as software must be sufficiently understood before it can be properly modified. The study of a program's execution, known as dynamic analysis, has become a common technique in this respect and has received substantial attention from the research community, particularly over the last decade. These efforts have resulted in a large research body of which currently there exists no comprehensive overview. This paper reports on a systematic literature survey aimed at the identification and structuring of research on program comprehension through dynamic analysis. From a research body consisting of 4,795 articles published in 14 relevant venues between July 1999 and June 2008 and the references therein, we have systematically selected 176 articles and characterized them in terms of four main facets: activity, target, method, and evaluation. The resulting overview offers insight in what constitutes the main contributions of the field, supports the task of identifying gaps and opportunities, and has motivated our discussion of several important research directions that merit additional consideration in the near future.","Anouk Donker,H. de Boer,Danny Kostons,C.C. Dignath van Ewijk,M.P.C. Van der Werf",IEEE Transactions on Software Engineering,2009
